"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2019","32.51","33.98","34.40","31.83","171.71K","-4.39%"
"Jan 10, 2019","34.00","39.31","40.10","32.87","362.55K","-13.50%"
"Jan 09, 2019","39.31","40.16","41.20","39.10","182.81K","-2.12%"
"Jan 08, 2019","40.16","38.65","42.20","38.50","309.25K","3.90%"
"Jan 07, 2019","38.65","40.09","40.73","38.35","156.41K","-3.59%"
"Jan 06, 2019","40.09","35.62","41.31","35.27","548.11K","12.58%"
"Jan 05, 2019","35.61","33.14","37.40","33.14","304.94K","7.45%"
"Jan 04, 2019","33.14","32.75","33.89","32.00","99.55K","1.20%"
"Jan 03, 2019","32.75","34.39","34.40","32.01","91.80K","-4.49%"
"Jan 02, 2019","34.29","32.95","35.00","32.59","103.89K","4.11%"
"Jan 01, 2019","32.93","30.96","33.30","30.73","103.22K","6.37%"
"Dec 31, 2018","30.96","32.82","32.94","30.56","89.93K","-5.81%"
"Dec 30, 2018","32.87","31.82","33.09","31.34","125.77K","3.76%"
"Dec 29, 2018","31.68","33.47","34.60","31.64","170.57K","-5.33%"
"Dec 28, 2018","33.46","28.69","34.76","28.64","235.42K","16.64%"
"Dec 27, 2018","28.69","31.53","31.94","28.36","157.05K","-9.02%"
"Dec 26, 2018","31.53","31.92","33.00","30.02","177.50K","-1.21%"
"Dec 25, 2018","31.92","33.86","33.92","30.77","198.76K","-5.78%"
"Dec 24, 2018","33.88","34.16","37.68","33.34","300.97K","-0.73%"
"Dec 23, 2018","34.12","32.82","35.00","32.66","214.02K","3.96%"
"Dec 22, 2018","32.82","31.31","32.89","30.75","138.05K","4.85%"
"Dec 21, 2018","31.31","33.54","34.18","30.64","232.24K","-6.67%"
"Dec 20, 2018","33.54","29.94","34.23","29.79","404.22K","12.02%"
"Dec 19, 2018","29.94","31.00","32.55","29.65","346.05K","-3.41%"
"Dec 18, 2018","31.00","29.88","31.00","28.65","245.29K","3.80%"
"Dec 17, 2018","29.87","26.16","31.34","26.00","539.98K","14.36%"
"Dec 16, 2018","26.12","24.08","27.57","24.08","425.44K","8.24%"
"Dec 15, 2018","24.13","23.72","24.52","23.55","138.98K","1.53%"
"Dec 14, 2018","23.77","23.47","24.11","22.87","163.65K","1.26%"
"Dec 13, 2018","23.47","24.77","24.86","23.27","156.30K","-5.23%"
"Dec 12, 2018","24.77","23.77","25.79","23.60","201.50K","4.18%"
"Dec 11, 2018","23.77","24.77","25.25","23.30","122.34K","-4.06%"
"Dec 10, 2018","24.78","26.04","26.37","24.36","180.63K","-4.86%"
"Dec 09, 2018","26.04","24.94","27.49","24.91","191.00K","4.43%"
"Dec 08, 2018","24.94","25.44","27.16","23.37","376.75K","-2.13%"
"Dec 07, 2018","25.48","26.88","27.01","22.54","438.86K","-5.20%"
"Dec 06, 2018","26.88","29.25","30.57","26.34","304.42K","-8.04%"
"Dec 05, 2018","29.23","31.28","31.53","29.20","148.43K","-6.56%"
"Dec 04, 2018","31.28","31.06","32.55","30.25","146.81K","0.71%"
"Dec 03, 2018","31.06","34.01","34.01","30.22","180.30K","-8.38%"
"Dec 02, 2018","33.90","34.56","35.52","33.41","115.15K","-1.94%"
"Dec 01, 2018","34.57","32.20","35.38","31.56","151.31K","7.23%"
"Nov 30, 2018","32.24","34.12","34.56","31.49","152.28K","-5.23%"
"Nov 29, 2018","34.02","35.20","35.97","33.43","155.75K","-3.02%"
"Nov 28, 2018","35.08","31.87","36.62","31.51","274.38K","10.89%"
"Nov 27, 2018","31.64","30.15","32.22","29.39","187.89K","4.87%"
"Nov 26, 2018","30.17","31.71","32.74","28.70","309.16K","-4.20%"
"Nov 25, 2018","31.49","29.74","32.77","27.80","381.70K","6.07%"
"Nov 24, 2018","29.69","32.77","34.10","29.17","219.36K","-9.50%"
"Nov 23, 2018","32.80","32.04","33.74","31.13","157.33K","1.44%"
"Nov 22, 2018","32.33","35.22","35.49","32.33","100.83K","-7.93%"
"Nov 21, 2018","35.12","33.74","35.24","32.39","239.79K","3.63%"
"Nov 20, 2018","33.89","37.29","38.82","31.60","548.06K","-8.83%"
"Nov 19, 2018","37.17","42.42","42.42","36.08","337.35K","-12.66%"
"Nov 18, 2018","42.56","42.56","43.50","42.25","42.55K","0.13%"
"Nov 17, 2018","42.50","42.91","42.96","42.00","31.73K","-0.87%"
"Nov 16, 2018","42.88","44.63","44.72","42.42","93.89K","-4.06%"
"Nov 15, 2018","44.69","45.00","45.51","41.23","293.89K","-0.10%"
"Nov 14, 2018","44.74","50.43","51.43","42.90","276.42K","-11.31%"
"Nov 13, 2018","50.44","51.24","51.60","49.67","57.90K","-1.64%"
"Nov 12, 2018","51.28","51.90","51.90","50.62","40.79K","-0.34%"
"Nov 11, 2018","51.46","52.44","52.57","49.97","65.15K","-1.87%"
"Nov 10, 2018","52.44","52.29","52.96","52.07","23.31K","0.16%"
"Nov 09, 2018","52.35","52.73","53.13","51.83","43.49K","-0.72%"
"Nov 08, 2018","52.73","54.46","55.04","52.59","51.34K","-3.13%"
"Nov 07, 2018","54.44","56.57","56.88","53.62","78.79K","-3.54%"
"Nov 06, 2018","56.43","54.03","56.43","53.96","72.14K","4.44%"
"Nov 05, 2018","54.03","54.68","55.07","53.17","64.68K","-0.94%"
"Nov 04, 2018","54.55","51.12","56.28","50.85","121.41K","6.81%"
"Nov 03, 2018","51.07","51.74","51.79","50.72","29.42K","-1.30%"
"Nov 02, 2018","51.74","50.67","52.17","50.64","64.63K","2.35%"
"Nov 01, 2018","50.56","50.17","50.81","49.82","36.68K","1.24%"
"Oct 31, 2018","49.94","49.32","50.56","48.09","71.05K","1.24%"
"Oct 30, 2018","49.33","49.13","49.94","49.02","31.34K","0.10%"
"Oct 29, 2018","49.28","52.05","52.22","48.37","98.89K","-5.32%"
"Oct 28, 2018","52.05","52.26","52.56","51.72","35.95K","-0.50%"
"Oct 27, 2018","52.31","52.68","52.86","52.00","29.05K","-0.65%"
"Oct 26, 2018","52.65","52.95","53.30","52.28","60.92K","-0.41%"
"Oct 25, 2018","52.87","53.04","53.28","52.67","25.01K","-0.29%"
"Oct 24, 2018","53.02","53.31","53.91","53.00","30.06K","-0.55%"
"Oct 23, 2018","53.31","53.07","53.85","52.57","47.70K","0.47%"
"Oct 22, 2018","53.06","53.52","54.12","52.80","34.36K","-1.05%"
"Oct 21, 2018","53.63","54.26","54.98","53.42","29.96K","-1.28%"
"Oct 20, 2018","54.32","53.68","54.53","53.34","23.79K","1.14%"
"Oct 19, 2018","53.71","53.51","54.73","53.21","37.51K","0.39%"
"Oct 18, 2018","53.50","55.29","55.76","53.02","47.08K","-3.38%"
"Oct 17, 2018","55.37","55.52","55.58","54.48","52.99K","-0.39%"
"Oct 16, 2018","55.58","56.10","57.10","54.87","50.81K","-0.88%"
"Oct 15, 2018","56.08","52.54","61.92","52.14","281.84K","6.66%"
"Oct 14, 2018","52.58","54.09","54.40","52.29","66.88K","-2.79%"
"Oct 13, 2018","54.09","53.71","54.86","53.42","56.52K","0.68%"
"Oct 12, 2018","53.73","51.20","54.13","50.97","104.13K","4.80%"
"Oct 11, 2018","51.27","58.49","58.49","50.82","191.85K","-12.41%"
"Oct 10, 2018","58.53","59.08","59.08","57.39","52.45K","-0.89%"
"Oct 09, 2018","59.06","59.75","59.80","58.51","42.61K","-1.18%"
"Oct 08, 2018","59.76","58.51","60.20","57.72","109.41K","2.51%"
"Oct 07, 2018","58.30","57.91","58.63","56.95","59.61K","0.66%"
"Oct 06, 2018","57.92","59.03","59.17","57.07","74.04K","-1.97%"
"Oct 05, 2018","59.09","58.36","59.77","57.62","81.93K","1.47%"
"Oct 04, 2018","58.23","57.57","59.42","57.39","86.95K","1.15%"
"Oct 03, 2018","57.57","59.50","59.58","56.62","109.66K","-3.24%"
"Oct 02, 2018","59.50","60.48","61.68","59.12","98.49K","-1.48%"
"Oct 01, 2018","60.39","61.38","62.05","59.46","93.11K","-1.36%"
"Sep 30, 2018","61.22","61.64","63.18","59.92","182.43K","-0.70%"
"Sep 29, 2018","61.65","61.65","62.25","58.92","114.59K","-0.47%"
"Sep 28, 2018","61.95","63.33","64.98","60.18","219.18K","-2.19%"
"Sep 27, 2018","63.33","57.25","65.44","56.68","377.47K","10.76%"
"Sep 26, 2018","57.18","57.48","59.86","56.49","144.33K","-0.58%"
"Sep 25, 2018","57.51","57.96","58.09","54.34","214.35K","-0.63%"
"Sep 24, 2018","57.88","60.95","61.46","57.20","186.26K","-5.76%"
"Sep 23, 2018","61.42","60.68","63.65","60.00","155.26K","1.21%"
"Sep 22, 2018","60.68","61.10","61.96","58.12","175.26K","-0.35%"
"Sep 21, 2018","60.89","57.02","62.82","56.38","233.56K","7.53%"
"Sep 20, 2018","56.63","54.37","57.30","53.42","96.33K","4.15%"
"Sep 19, 2018","54.37","53.95","54.90","51.62","166.80K","0.62%"
"Sep 18, 2018","54.04","51.86","55.31","50.59","153.20K","3.38%"
"Sep 17, 2018","52.27","56.91","57.87","51.28","166.59K","-7.86%"
"Sep 16, 2018","56.73","56.34","57.52","54.47","98.45K","0.64%"
"Sep 15, 2018","56.37","56.18","58.82","55.80","108.81K","0.11%"
"Sep 14, 2018","56.31","54.53","58.96","52.89","197.48K","3.58%"
